TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,10.668866,16.862227,25.832148,10.054742,16.36872,23.05915,10.024857,15.804649,22.568071,10.265763,15.312064,24.512335,11.049389,16.006129,23.515306,인슐 탄수 X
3_Sam,11.633965,19.718086,34.036922,11.699314,19.583994,33.831881,10.829982,19.030648,34.071627,10.817329,18.438042,33.128348,10.984964,19.630103,32.60323,인슐 탄수 X
4_Sam,9.36204,15.306646,26.05572,8.870023,14.948755,24.629682,9.092525,14.434452,24.369256,8.685906,14.123222,24.616431,8.760682,14.345937,24.647594,
5_Sam,12.294061,21.088993,32.107711,11.963608,20.026747,31.088622,11.040552,19.650765,31.206844,11.997146,19.66301,32.376391,11.70101,19.850562,31.04025,탄수 X
6_Sam,13.868603,26.050018,41.83287,12.98451,24.734004,40.351199,12.480938,22.457876,40.406149,12.572594,22.514282,39.404353,13.901769,25.516798,39.502485,인슐 탄수 X
7_Sam,10.098364,14.917413,18.174192,9.845691,13.844323,17.741742,10.084746,13.985891,18.291488,9.428372,14.309162,17.959372,9.561721,14.482006,17.867206,인슐 탄수 X
8_Sam,16.579663,30.644229,48.714969,17.058507,29.199863,47.06409,18.048636,30.428057,45.779828,16.727245,29.791559,45.550851,16.427536,30.168301,47.103187,인슐 탄수 X
9_Sam,7.414418,9.907094,15.67939,7.312281,10.524042,15.09892,7.008296,10.064537,14.609862,7.579072,10.994743,14.163153,7.607938,10.971546,14.992269,인슐 탄수 X
10_Sam,10.597393,16.918835,27.267323,10.042511,15.227204,26.936756,10.145,16.302438,27.90496,9.699736,15.068749,24.161684,11.017741,16.730764,27.672234,
11_Sam,19.780422,28.963722,40.085323,20.021242,28.183557,38.084366,19.755987,27.8848,38.934359,19.388561,27.751215,38.536207,19.84849,29.055164,39.295896,인슐 탄수 0하고 제대로된 값하고 섞여있음
12_Sam,15.951456,28.393415,46.987097,15.118319,27.061536,43.935291,15.29793,26.794413,46.586435,14.778698,28.439466,44.251072,14.964928,27.061743,44.855075,인슐 탄수 0만 입력 되어있음 
13_Sam,10.895719,19.154091,31.666684,10.116152,17.302538,27.958652,10.581917,18.129548,29.720832,10.293326,17.14411,30.086402,9.934083,16.948361,29.140742,인슐 탄수 0만 입력 되어있음 
14_Sam,14.907527,26.14817,41.463353,14.095164,24.780068,38.63122,14.205153,23.641954,39.450566,13.876566,25.035802,40.879134,14.261146,23.375152,40.760539,인슐 탄수 0만 입력 되어있음 
15_Sam,15.079614,23.358029,33.622143,14.690135,22.626198,31.643976,14.547823,22.080578,31.60067,14.698822,22.716263,31.551591,14.875127,23.098918,31.903341,인슐 탄수 0하고 제대로된 값하고 섞여있음
16_Sam,10.498359,16.420374,23.321755,10.464924,15.744156,22.653713,10.329764,16.208466,22.661267,10.196933,15.794241,21.665286,10.534362,15.400442,22.594639,인슐 탄수 0하고 제대로된 값하고 섞여있음
17_Sam,16.945487,28.333333,44.534089,16.557198,27.850201,43.660396,16.254363,27.540534,43.321022,16.639262,27.555532,42.65506,17.018929,27.621825,43.744228,인슐 탄수 0만 입력 되어있음 
18_Sam,18.32216,30.110469,47.390473,18.848816,29.646507,46.414967,20.176576,28.99534,45.990957,18.749261,28.937512,46.031097,18.281982,30.381296,47.256284,인슐 탄수 0만 입력 되어있음 
19_Sam,10.867893,20.120485,33.215131,10.750251,18.431475,30.957162,10.743229,17.870005,29.757821,10.256786,17.862152,29.787555,10.120099,18.384592,31.071047,인슐 탄수 0만 입력 되어있음 
20_Sam,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,17.920395,29.381089,45.305064,16.693229,27.520791,40.569184,19.378939,27.429419,42.491356,16.007152,27.165302,46.280772,16.161333,29.157116,42.227327,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,15.37717,22.703861,30.577338,14.684521,22.291793,29.999747,14.718514,21.958135,29.823314,14.540936,21.969197,31.248767,14.81489,22.216117,30.625852,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,9.699621,14.758081,19.890558,9.316778,14.168713,19.591746,9.297322,13.803906,20.357908,9.351836,14.051011,19.496349,9.2996,13.962962,19.335722,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,10.949452,19.232717,28.302378,10.651415,17.399584,25.518212,9.913435,18.079993,24.766423,10.061173,17.817872,24.647995,10.422448,17.576972,25.122771,553/인슐린 X 탄수화물만 (2번)
25_Sam,6.21073,10.362123,16.609937,6.009617,10.023203,16.224384,5.823666,10.140308,16.022736,5.867067,9.808752,16.037186,6.245076,10.02558,16.356233,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,11.900933,21.052408,26.899474,11.160531,19.131928,26.239584,10.979353,21.062956,25.105951,12.238554,18.408455,26.510791,11.206472,18.944312,26.289321,1143/인슐 탄수 0만 입력 되어있음
27_Sam,11.913058,16.499338,24.091954,11.537028,16.231743,23.761879,11.491211,15.58849,23.525756,12.038328,16.078315,22.635218,11.618984,17.024526,24.272652,2010/인슐 탄수 0만 입력 되어있음
28_Sam,11.576918,20.372588,29.273089,11.249615,19.771797,28.69607,10.967836,19.015195,28.152794,11.113302,19.397525,28.522243,11.23567,19.987014,28.686806,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,14.966081,23.499146,40.999876,14.116684,22.541619,35.77579,13.902113,21.085706,37.889677,14.029824,21.590913,38.84302,14.301715,23.172546,36.114267,685/인슐 탄수 0만 입력 되어있음
30_Sam,13.302104,22.981794,38.81105,12.274313,21.807622,36.186435,12.899829,21.354917,34.567595,12.23902,20.859543,35.993503,12.141339,21.888378,34.711537,1242/인슐 탄수 0만 입력 되어있음
31_Sam,12.210272,23.064485,41.517414,11.47612,20.705109,38.664391,11.701076,21.29618,39.017562,11.688023,20.738558,37.223632,11.794597,21.258295,37.877342,1453/인슐 탄수 0만 입력 되어있음
32_Sam,13.985085,23.549363,38.136359,12.869744,23.553413,39.230069,13.096111,23.146186,38.0835,13.768674,22.851651,37.233998,13.032711,24.61796,38.384885,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,10.565458,18.375031,30.707207,11.030604,18.180289,30.235507,10.487557,17.989142,30.540845,10.414303,18.501946,30.669694,10.485782,18.038234,29.790296,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,19.155852,29.481364,45.731021,17.557997,28.924324,41.680489,16.873813,28.270413,42.256143,18.116147,28.00865,42.462568,18.125554,27.983409,43.005593,1295/인슐 탄수 0만 입력 되어있음
35_Sam,18.079568,28.183112,40.526279,17.271066,26.820924,37.43886,17.244974,26.071325,38.515457,16.890679,26.529966,35.876673,17.509101,27.082199,37.201095,2014/인슐 X 탄수화물만 (2번)
36_Sam,10.496569,20.656596,37.980088,10.078251,19.078764,36.97164,10.749742,19.29049,35.352211,10.805599,19.168224,35.832021,9.859871,19.162322,35.707129,1710/인슐 탄수 0만 입력 되어있음
37_Sam,8.987298,14.947491,22.523543,8.549536,15.698056,22.030256,8.742893,14.498373,22.436976,8.87506,15.186164,22.337071,8.552846,15.145637,22.771375,2053/인슐 탄수 0만 입력 되어있음
38_Sam,15.363986,24.388644,35.49365,14.879101,23.919653,34.745149,15.71303,24.203554,34.324055,14.365716,24.081244,34.932695,15.016363,23.960262,34.938419,1485/인슐 탄수 0만 입력 되어있음
39_Sam,12.752221,24.045735,43.68462,11.859482,22.066419,41.209675,11.57622,22.538048,41.626086,11.496621,22.927599,43.502002,11.776135,22.438641,41.995199,1473/인슐 탄수 0만 입력 되어있음
40_Sam,12.725327,20.366441,32.111214,12.376527,19.266988,31.073751,12.443163,18.958236,30.047004,12.632156,19.688355,31.939261,13.126756,19.503106,30.502495,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,10.728117,15.90605,23.057384,10.730398,15.750808,22.238298,10.803672,15.521687,21.455314,10.643453,15.691822,22.623721,10.666,15.698277,21.349727,1947/인슐 X 탄수화물만 (2번)
42_Sam,13.685746,26.271881,41.892864,12.748109,23.832881,39.920851,13.108752,22.98502,38.178973,13.20845,24.266647,39.188829,13.301282,24.117035,40.494646,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,12.820667,18.571812,27.143102,11.460081,18.086036,25.798309,12.464183,17.062208,25.280914,12.79113,16.500958,27.623761,8.6726,17.175409,26.114443,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,12.283336,19.965241,31.154657,11.854934,19.58447,30.542013,11.717012,20.164054,30.416202,11.771646,19.110851,30.024906,11.945382,19.439374,31.193593,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,11.946125,20.944114,35.295748,12.040392,19.880147,34.842692,11.107487,19.715185,35.716396,11.747983,19.908972,35.623622,10.972154,20.766095,35.699937,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,10.703205,20.780421,36.547053,9.87735,19.56512,34.132186,9.808907,17.057701,36.04056,9.644421,19.15533,36.62458,9.828811,18.252162,31.300043,1179/인슐 탄수 0만 입력 되어있음/11/16
49_Sam,18.253313,29.135027,42.050238,19.786822,27.646635,41.006189,19.207016,29.411676,40.014359,17.759408,26.885325,41.196842,16.920756,26.898211,41.500272,1924/인슐 탄수 0만 입력 되어있음/16/9
50_Sam,11.809033,21.24619,40.053438,11.118486,19.732022,35.298952,10.745412,19.531732,36.00176,11.011328,19.097883,36.227881,10.994825,19.585484,36.949196,1744/인슐 탄수 X
51_Sam,10.519653,19.514423,31.285003,10.837286,19.876765,29.857159,11.89804,18.342562,29.551894,11.73504,18.448419,30.483139,11.581825,18.668623,30.527872,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
52_Sam,13.116351,22.905756,37.755272,12.268767,21.717859,36.47348,12.111813,20.99104,36.133856,12.047334,21.058965,35.345794,12.651094,21.84835,35.844339,1305/인슐 탄수 0만 입력 되어있음/16/10
53_Sam,14.256642,22.294504,35.006871,12.63469,19.751957,32.345105,11.307037,20.073374,31.819695,12.543114,20.473561,32.505848,12.29285,20.330129,33.042597,997/인슐 탄수 0만 입력 되어있음/13/10
,,,,,,,,,,,,,,,,1448인슐 탄수 0만 입력 되어있음/16/25
,,,,,,,,,,,,,,,,1968/인슐 X 탄수화물만 (16번)
RMSE,,,,,,,,,,,,,,,,
