TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,10.634334,16.663512,25.571857,9.808367,15.338503,25.985425,11.812268,14.797723,23.190885,10.196929,15.831677,23.309158,10.350687,16.046968,24.078979,인슐 탄수 X
3_Sam,12.081539,20.019533,33.673075,11.260364,34.578556,35.701046,10.517338,21.896199,34.068674,11.838408,21.034905,33.690213,11.95135,19.992698,33.948561,인슐 탄수 X
4_Sam,9.423885,15.522002,25.78316,9.317713,14.713139,24.330379,8.58815,14.609606,22.413086,9.267263,16.525583,24.868582,10.074654,14.611139,27.067113,
5_Sam,11.465128,20.026963,31.980417,11.611222,20.037534,31.635981,10.968857,20.083951,33.39909,11.866584,19.698394,31.583692,11.20111,20.584518,31.794925,탄수 X
6_Sam,13.820085,24.752546,41.323653,17.922902,25.665185,43.166578,15.195479,24.361292,45.716519,13.452899,25.655692,48.652927,13.856286,23.644316,40.996551,인슐 탄수 X
7_Sam,9.437474,13.413636,17.312802,9.342698,13.408577,18.430578,8.38501,12.839095,17.409357,10.861603,13.502256,17.292678,9.817466,14.129922,17.611286,인슐 탄수 X
8_Sam,16.421453,30.587973,48.229907,15.780848,39.21629,48.163857,16.306824,26.623033,45.49262,22.309726,30.056647,47.203791,16.556439,30.603439,47.317541,인슐 탄수 X
9_Sam,6.815071,9.278601,13.562039,7.306781,9.826919,13.948504,6.659802,10.698055,14.599048,8.069477,10.036426,16.218146,7.10247,10.148985,13.240563,인슐 탄수 X
10_Sam,11.398703,17.516402,27.147796,10.444638,14.896285,25.267174,17.441686,14.349603,22.310045,10.176953,15.944207,24.705377,10.524926,17.672411,27.843841,
11_Sam,19.401849,27.287224,38.852768,19.290326,27.179123,38.385587,22.885347,30.460251,45.592718,20.311449,28.170252,36.67657,19.796121,26.812954,36.641737,인슐 탄수 0하고 제대로된 값하고 섞여있음
