TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,11.113205,16.66341,26.295181,10.556139,15.583169,24.925097,9.796623,14.358667,21.953358,11.612452,15.852036,24.329393,9.637681,15.295684,24.009237,인슐 탄수 X
3_Sam,11.708826,19.821668,34.008589,11.268602,21.380044,33.113409,21.811622,18.27131,34.228112,12.102627,19.967203,33.227156,11.674644,20.19182,33.557755,인슐 탄수 X
4_Sam,9.108698,15.017978,27.421016,9.243141,16.020118,25.962544,9.160888,14.641814,24.574933,8.566068,15.773665,26.303706,8.718466,14.587935,25.111021,
5_Sam,11.384912,19.855493,31.596024,10.906696,19.934897,36.582445,10.687895,19.169477,30.40307,10.869054,19.052009,31.091768,11.090178,19.325374,30.745589,탄수 X
6_Sam,13.765778,24.071126,41.106708,14.032508,30.833206,40.204618,12.723254,28.925265,40.985504,13.057677,27.878332,42.180982,13.979541,23.599396,41.701716,인슐 탄수 X
7_Sam,8.886279,13.702018,18.060082,9.839052,16.019083,19.595343,7.996323,13.811431,17.407369,10.100977,13.874541,18.023792,9.703291,14.176582,17.721026,인슐 탄수 X
8_Sam,16.625952,30.058381,48.421787,16.903782,30.381193,47.960766,14.640573,29.499822,43.019932,15.378634,28.340313,47.922097,16.97238,29.109166,49.749477,인슐 탄수 X
9_Sam,7.87646,9.921363,14.427069,6.778764,10.973732,14.659048,6.862613,9.439704,13.418484,7.06913,11.392002,14.1736,7.10493,9.654213,13.425301,인슐 탄수 X
10_Sam,11.956651,17.102234,27.961319,9.749585,17.509854,26.188754,10.883366,14.108588,21.894001,9.454473,16.984287,22.264481,10.077301,17.668722,27.362704,
11_Sam,19.561391,28.624877,40.712768,20.168629,28.619952,37.197294,19.353546,29.86661,36.985673,19.518386,27.821512,38.316681,20.135946,28.276587,37.886266,인슐 탄수 0하고 제대로된 값하고 섞여있음
12_Sam,15.805649,28.007113,48.274303,15.071123,28.210389,49.222254,14.527878,33.935923,44.474676,14.258081,27.085544,46.950167,15.473117,26.535464,45.404325,인슐 탄수 0만 입력 되어있음 
13_Sam,11.579681,19.236291,32.441387,9.195027,16.811658,37.763961,8.867519,17.23852,30.018766,11.528756,18.320407,33.052038,9.680385,18.284155,28.406338,인슐 탄수 0만 입력 되어있음 
14_Sam,14.482672,24.861012,37.731592,15.000868,23.428577,37.546859,13.831669,23.198767,33.876442,13.952201,23.765364,41.183673,13.749024,23.592681,37.405423,인슐 탄수 0만 입력 되어있음 
15_Sam,15.017734,23.655378,34.389268,16.295362,23.358943,33.157805,14.744619,22.738726,32.587404,14.925433,22.975727,33.14325,15.148373,23.421498,32.915895,인슐 탄수 0하고 제대로된 값하고 섞여있음
16_Sam,10.535503,16.278977,23.665424,10.503975,18.281966,21.469086,10.773743,20.759111,21.476536,10.402942,16.172953,21.221866,10.21433,15.675634,22.670846,인슐 탄수 0하고 제대로된 값하고 섞여있음
17_Sam,16.68243,27.558217,43.242133,16.389574,27.498619,42.275883,15.957935,27.570851,42.463586,16.743103,27.735732,44.066896,16.732298,27.565639,42.527061,인슐 탄수 0만 입력 되어있음 
18_Sam,17.679064,29.946484,48.522313,17.708603,29.021067,47.413969,16.690611,28.784406,50.150479,17.934149,31.019474,49.668889,17.650826,29.592271,46.686354,인슐 탄수 0만 입력 되어있음 
19_Sam,10.550108,20.768172,34.392862,9.92876,19.758054,29.725351,9.319831,17.054299,33.517957,8.683986,19.984006,33.260435,10.215548,19.165619,33.747021,인슐 탄수 0만 입력 되어있음 
20_Sam,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,19.258477,30.780078,46.566518,20.48151,30.045217,44.232728,18.384538,33.212362,45.619734,24.956124,30.413976,45.916559,19.001925,28.988662,44.39693,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,15.297018,21.772582,28.450391,14.47013,23.748785,29.29365,14.443872,20.378109,30.21028,15.760248,21.239887,27.512856,15.038081,21.397515,30.007836,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,9.750544,14.589461,21.111652,9.672526,14.0342,18.653471,10.055527,16.086044,18.629363,10.7247,14.820921,18.599561,9.506352,13.60896,18.975017,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,11.357808,18.811035,29.94838,9.497826,16.55959,23.990852,9.007402,16.563257,22.182458,9.46555,16.298477,20.553539,10.089874,17.300767,23.002721,553/인슐린 X 탄수화물만 (2번)
25_Sam,5.984712,10.108028,16.193976,6.420085,10.116217,77.631144,5.51294,9.44224,16.13025,6.037269,9.588705,16.071873,5.933224,9.846304,16.753496,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,10.697879,17.272391,25.808917,10.748777,17.140585,25.763996,9.798354,16.805106,26.50307,11.51197,17.560202,25.113069,11.004579,17.35006,25.175444,1143/인슐 탄수 0만 입력 되어있음
27_Sam,11.866847,16.085988,23.283496,11.233544,22.110688,24.513561,11.834838,16.156677,23.481323,11.863563,16.836118,23.852615,12.40974,17.090047,22.921577,2010/인슐 탄수 0만 입력 되어있음
28_Sam,11.355824,19.055167,28.174912,10.44756,19.415255,28.49651,10.740388,18.094662,26.751933,11.413289,18.691702,27.73579,11.49969,18.850001,28.809045,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,13.830819,21.459297,38.812684,15.282117,25.565377,32.878908,14.544529,17.368038,45.131841,13.634668,19.053345,38.823375,12.978872,20.109093,37.582483,685/인슐 탄수 0만 입력 되어있음
30_Sam,12.068133,21.193791,37.008658,11.866501,19.991858,34.310334,11.393481,20.208519,32.776918,11.583974,20.459955,33.746235,11.6459,20.692073,36.500062,1242/인슐 탄수 0만 입력 되어있음
31_Sam,12.341245,21.880361,38.534892,11.562562,21.05336,35.526194,11.799035,21.358804,34.461594,11.964793,20.661035,37.436618,11.671957,20.148738,35.953767,1453/인슐 탄수 0만 입력 되어있음
32_Sam,14.635551,24.322524,39.671129,21.241927,30.506586,40.70588,17.804546,24.145459,37.608724,17.593765,27.246977,40.712444,15.646658,24.947774,38.770888,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,10.368921,18.555167,31.318349,10.310343,18.461364,30.939312,10.221557,17.365846,30.096737,10.744103,18.041604,31.995996,10.712779,18.950434,30.821787,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,18.540189,28.74146,42.314213,18.965418,27.762986,40.567917,18.9402,29.291891,45.803077,19.186164,29.603762,42.089735,17.06704,27.37195,41.375289,1295/인슐 탄수 0만 입력 되어있음
35_Sam,17.771641,27.329975,40.176071,16.772586,27.005686,40.961161,19.041765,28.063993,35.646324,19.156443,27.080011,37.611847,17.568159,26.781121,39.52705,2014/인슐 X 탄수화물만 (2번)
36_Sam,10.47684,21.075133,38.037407,10.749695,21.17282,38.985212,10.219194,21.156168,35.351823,15.300778,18.921033,34.90472,10.909769,22.627479,38.464095,1710/인슐 탄수 0만 입력 되어있음
37_Sam,8.60457,14.520127,22.600279,8.386816,14.105977,22.55816,8.596888,13.909026,22.328026,8.379262,14.202614,21.851018,8.436093,14.299286,21.377591,2053/인슐 탄수 0만 입력 되어있음
38_Sam,14.908877,24.084123,36.30318,15.069987,23.230996,32.96905,14.000579,27.944709,33.173726,16.164321,23.29554,33.306177,14.742953,23.73094,33.001383,1485/인슐 탄수 0만 입력 되어있음
39_Sam,11.882102,22.719662,42.106548,11.63497,32.143521,43.654981,11.201623,18.910599,37.825011,11.427716,22.347285,40.90395,11.093332,26.636578,40.843882,1473/인슐 탄수 0만 입력 되어있음
40_Sam,13.029056,19.58767,30.858684,12.931027,20.030675,29.861318,12.15741,19.884404,30.272872,12.294501,19.357247,30.340549,12.721181,18.974475,29.980229,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,10.684376,15.833895,22.895225,11.591616,16.290373,22.204513,11.607582,16.229399,21.800062,11.586762,18.668425,25.924136,10.684486,15.728453,22.370223,1947/인슐 X 탄수화물만 (2번)
42_Sam,13.911801,26.455643,43.551006,13.470168,25.593132,45.033458,11.524535,22.043975,37.30284,14.195561,24.962395,42.41316,13.538668,29.07605,44.690043,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,8.513778,15.144938,25.143751,8.228127,14.901206,26.635674,8.434308,14.308402,24.545604,8.781766,15.56999,25.635042,9.180537,14.533746,25.560662,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,12.010367,19.269826,30.072617,12.454576,20.609954,30.356788,11.226422,20.146511,29.820055,11.943536,20.238339,31.21379,11.871984,19.053673,29.763645,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,11.169294,20.197265,36.076118,13.587023,22.354805,33.695103,13.835511,20.122184,33.894256,14.892253,21.55269,34.531903,10.992808,21.699946,36.81629,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,10.817632,19.840683,31.475126,10.304682,16.692507,28.8501,8.803418,16.282721,32.954537,12.101501,18.11605,29.887366,9.991402,17.862993,30.206712,1179/인슐 탄수 0만 입력 되어있음/11/16
