TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
Sam_1,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_3,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_4,8.954651,15.288301,27.568451,8.994026,14.553905,26.412865,8.766872,14.029675,25.661486,9.410292,15.175878,26.58975,8.857636,14.750068,25.789099,
Sam_5,11.290306,20.085724,30.719219,11.451844,19.498558,32.028477,10.887973,18.147644,30.409876,10.900638,20.001492,30.877403,10.935061,19.185881,30.518135,탄수 X
Sam_6,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_7,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_8,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_9,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_10,10.863853,16.954254,28.402168,9.588445,16.822569,26.787386,11.813035,14.891174,22.991356,9.60259,18.677771,22.294859,11.500174,17.66309,27.2092,
Sam_11,19.517094,28.853413,40.261688,21.932392,27.953402,42.840805,18.658102,30.029684,37.964077,18.544401,28.517033,35.561028,19.398674,27.872465,40.38081,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_12,15.45018,27.51074,41.095463,14.1133,25.720278,41.334442,15.239561,24.642557,35.614429,14.083978,22.133726,36.633659,13.467182,22.346668,39.894917,인슐 탄수 0만 입력 되어있음 
Sam_13,11.991707,19.130785,32.039284,11.119823,18.442265,25.85833,9.083676,15.738328,25.448999,9.984452,16.945551,29.030811,10.338759,17.373684,28.192076,인슐 탄수 0만 입력 되어있음 
Sam_14,14.407259,25.004255,37.494198,14.57598,23.774719,34.486843,14.001498,23.82667,32.785572,13.779322,25.015823,35.414852,13.448533,24.008589,37.642216,인슐 탄수 0만 입력 되어있음 
Sam_15,15.442896,22.781446,34.656036,14.753776,23.259981,30.974344,15.497081,22.24007,28.701313,14.65453,22.19138,29.178936,15.040725,21.388313,28.70459,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_16,10.511488,16.259613,23.67351,11.706125,15.036817,21.084743,10.111221,13.705965,22.498287,10.112141,14.846149,23.34161,10.46549,15.500588,21.782858,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_17,16.803419,27.982595,42.56604,16.849586,27.370678,41.248352,16.681969,29.302805,43.168056,16.637444,29.14839,45.057785,16.80324,27.672894,41.24707,인슐 탄수 0만 입력 되어있음 
Sam_18,17.0853,30.515226,47.643864,15.966942,26.644045,45.996536,17.15218,25.597475,43.139709,16.639755,25.273417,48.72134,17.459848,28.786114,45.844353,인슐 탄수 0만 입력 되어있음 
Sam_19,10.427781,20.551697,33.514366,9.676897,18.27791,30.656275,7.530841,14.071504,28.042559,9.955097,16.290361,30.069645,9.103798,18.139395,29.234217,인슐 탄수 0만 입력 되어있음 
Sam_20,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,19.381073,31.282438,45.823151,20.013824,32.048939,43.698017,20.652386,31.230913,40.127529,17.207201,25.732182,39.250858,17.156366,31.499266,43.166939,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,14.882824,21.187475,27.892166,15.795969,21.302603,28.076939,14.10479,20.144499,29.910267,14.618606,20.595888,27.716322,15.052517,22.692953,27.700504,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,9.743698,14.499964,18.233204,9.141656,13.518673,16.333143,9.100376,13.799235,16.294926,9.36774,13.485396,17.201881,9.306007,13.678273,17.553169,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,,,,,,,,,,,,,,,,553/인슐린 X 탄수화물만 (2번)
25_Sam,6.046299,9.537888,15.541106,5.619857,9.106824,15.270609,5.289735,8.559881,14.84227,5.896362,9.135115,14.536523,5.85076,9.30815,15.72848,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,10.823719,16.961054,25.604116,10.064651,16.697699,27.962255,11.211032,15.794255,29.381889,11.089353,15.946188,24.990452,11.056999,17.706303,24.859602,1143/인슐 탄수 0만 입력 되어있음
27_Sam,12.705219,16.610102,23.842514,13.380268,17.709864,24.207359,14.702979,16.146658,23.160521,12.880309,17.564898,23.719206,13.255818,18.220173,25.222088,2010/인슐 탄수 0만 입력 되어있음
28_Sam,11.19183,18.713966,25.397284,10.091699,18.823622,27.754539,9.952406,18.084396,22.650982,12.179623,17.131451,23.715324,11.144887,19.746828,24.575573,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
