TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
Sam_1,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_3,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_4,9.428438,15.051023,25.677181,8.852757,14.107324,24.106108,9.398808,13.88336,23.595488,8.648683,13.950119,23.903667,9.143722,14.025006,24.409864,
Sam_5,12.215695,20.921339,31.974245,11.728846,20.028536,31.033674,11.134498,19.22192,30.887945,12.354498,19.418039,32.125183,11.65528,19.777685,30.978106,탄수 X
Sam_6,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_7,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_8,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_9,,,,,,,,,,,,,,,,인슐 탄수 X
37_Sam,8.556338,15.094889,22.376017,8.830478,14.603526,21.794949,8.500549,14.375932,21.868343,8.206933,15.184574,22.09786,8.206997,14.554214,22.539268,2053/인슐 탄수 0만 입력 되어있음
38_Sam,15.360618,24.532152,35.016933,15.234307,23.676592,33.963158,14.387687,22.840763,33.849525,14.425707,23.659624,33.493076,14.918704,23.728415,34.492168,1485/인슐 탄수 0만 입력 되어있음
39_Sam,11.647991,22.850828,40.139542,11.368195,20.235384,36.588024,10.699996,19.743853,37.062801,10.994283,19.532036,36.492451,10.921512,20.787333,36.664402,1473/인슐 탄수 0만 입력 되어있음
40_Sam,12.831532,20.166395,31.815947,12.245697,19.405046,30.122766,12.143814,18.921274,29.876356,12.13353,19.010942,31.464006,13.059638,19.401682,30.266764,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,,,,,,,,,,,,,,,,1947/인슐 X 탄수화물만 (2번)
42_Sam,12.962289,22.933992,38.419842,12.559758,20.301298,34.43375,12.550913,23.363329,32.138855,12.906918,19.869621,33.78299,12.53979,20.944212,35.805588,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,12.974093,17.933861,27.084915,16.95228,20.331867,24.337637,7.759621,14.204333,29.459463,18.63261,16.945148,25.215261,12.93225,15.564826,25.701683,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,11.965435,19.698772,30.205042,11.856075,19.452187,29.95916,11.762712,18.901375,29.37686,11.716268,19.024946,28.99732,11.924141,20.249962,29.485209,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,11.863032,20.71085,34.597717,11.777065,20.543684,34.314442,11.026717,20.666058,33.732857,12.239426,19.745792,34.274147,11.640434,20.839033,35.23605,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,10.541742,19.220924,34.950584,9.827087,17.87521,32.677593,9.197586,18.052149,35.06691,9.821855,18.710791,35.655914,9.704474,17.233492,34.140827,1179/인슐 탄수 0만 입력 되어있음/11/16
49_Sam,19.03587,29.093063,41.454456,17.819975,27.671358,41.143993,17.582777,27.456678,39.639187,17.268677,26.976603,39.380939,16.777964,26.822161,41.380135,1924/인슐 탄수 0만 입력 되어있음/16/9
50_Sam,,,,,,,,,,,,,,,,1744/인슐 탄수 X
51_Sam,10.526418,18.905741,30.379847,10.882257,18.303051,29.053415,12.207928,18.202843,29.307545,12.865913,18.427368,28.582781,11.463312,18.12491,28.985092,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
52_Sam,12.898163,22.41391,36.167793,12.065834,21.471684,34.264946,11.992552,21.067326,33.988338,11.994022,20.834713,33.800167,13.165197,21.079453,34.322277,1305/인슐 탄수 0만 입력 되어있음/16/10
53_Sam,13.306271,21.689341,33.997669,11.493749,18.992872,31.88978,11.616973,19.072578,30.681221,12.829543,19.380424,31.458191,11.956317,19.655001,31.621981,997/인슐 탄수 0만 입력 되어있음/13/10
54_Sam,10.423201,20.427013,37.365284,9.382092,19.569601,34.323559,9.200926,19.005821,33.931484,9.309402,18.668028,33.735889,9.836196,19.549864,34.155827,1448인슐 탄수 0만 입력 되어있음/16/25
55_Sam,9.994887,19.552467,32.137863,10.1568,18.51034,30.910746,9.866671,18.195475,32.120197,9.447154,17.518188,30.152702,9.798978,18.883049,32.013733,1968/인슐 X 탄수화물만 (16번)
RMSE,12.9404291,21.38590412,33.58361463,12.49009844,20.31250785,31.8871238,12.17689822,20.06985846,31.63690788,12.53168876,20.0334531,31.76316207,12.38190744,20.46311927,32.240337,
