TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
2_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
3_Sam,,,,,,,,,,,,,,,,
4_Sam,9.310895,15.525129,25.761482,8.957912,14.190192,26.715282,11.301094,15.066897,25.980801,9.18487,15.119398,24.968996,8.91678,14.769369,25.583998,탄수 X
5_Sam,11.242173,20.587179,31.732759,12.388123,19.765167,31.218069,10.814735,18.806091,31.183777,12.029058,21.5707,32.011902,11.593273,19.969118,30.21312,인슐 탄수 X
Sam_7,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_8,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_9,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_10,11.168633,17.352913,27.168657,10.050197,16.895784,27.821873,12.917388,14.174685,25.542,9.896749,14.829822,27.395123,10.907827,17.350075,27.795134,
Sam_11,19.525202,27.943329,39.077839,23.012472,26.640491,37.87088,27.726254,36.598759,37.599323,19.106342,29.236832,38.118568,19.488981,28.208946,35.966015,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_12,16.329994,27.720598,40.81263,16.896198,27.25309,41.036667,13.16049,31.291101,61.576443,15.236193,28.225443,40.882748,16.337801,22.355583,39.569698,인슐 탄수 0만 입력 되어있음 
Sam_13,11.703717,19.697794,32.513176,10.192795,16.974682,29.721678,10.57462,22.553354,28.224634,10.107924,20.767914,30.776783,9.602859,19.647467,30.788647,인슐 탄수 0만 입력 되어있음 
Sam_14,14.745153,25.004827,37.707142,14.674137,23.972401,37.529472,13.373679,31.843399,32.505531,14.228824,22.351244,52.841537,13.521256,23.968098,36.846703,인슐 탄수 0만 입력 되어있음 
Sam_15,14.901525,23.999048,27.708101,14.672107,22.792732,30.224852,27.583761,22.394812,28.291403,14.072611,22.012964,28.275072,14.370868,23.660761,31.326216,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_16,10.893854,16.176394,23.795036,10.356386,15.555295,24.026077,12.059615,23.999485,21.692614,11.017743,15.581151,23.593191,10.82982,16.047243,21.725485,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_17,17.364109,28.180378,43.370968,19.665432,31.974361,46.619392,22.140697,28.414595,42.342991,17.789776,28.337982,40.663544,17.019285,29.046097,46.538898,인슐 탄수 0만 입력 되어있음 
Sam_18,17.602257,28.400169,43.725353,17.928061,32.106056,41.551018,19.505424,25.252991,44.841721,16.518257,28.675537,40.896465,17.969957,28.615292,43.777435,인슐 탄수 0만 입력 되어있음 
Sam_19,10.604221,18.941912,32.755848,9.756763,16.449152,27.277704,8.426654,13.916616,32.959381,15.452168,15.668119,24.892021,10.006595,22.579725,28.092506,인슐 탄수 0만 입력 되어있음 
Sam_20,,,,,,,,,,,,,,,,데이터 너무 적음 
Sam_21,19.799225,30.97562,46.424358,19.065132,34.215942,54.492535,16.681433,26.704382,41.261818,17.651369,32.457619,46.857075,17.209169,26.262297,50.094864,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,14.140589,20.153702,27.588827,14.847755,22.057173,34.433186,16.141562,22.860376,29.445976,14.51096,20.606663,29.304338,14.835443,23.668324,28.772413,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,10.142774,14.747432,19.237648,9.776144,14.636576,19.631163,10.311455,14.713248,17.525852,9.168527,13.823072,17.224758,10.325983,13.500122,16.892315,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,,,,,,,,,,,,,,,,553/인슐린 X 탄수화물만 (2번)
25_Sam,6.980491,10.664449,16.191296,6.326214,9.702382,16.532812,6.446221,9.755609,14.495579,6.406076,10.799679,14.871066,6.820795,9.694856,14.558931,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,11.259836,17.485197,25.710194,9.646756,17.60519,30.295938,15.450063,15.637319,22.469963,10.431664,15.683104,25.322002,11.250331,16.929861,24.687649,1143/인슐 탄수 0만 입력 되어있음
27_Sam,12.593799,16.490864,23.844992,16.320082,16.686539,26.115021,14.347595,15.537776,27.127293,13.95211,17.076002,23.941587,13.37813,17.595501,24.653822,2010/인슐 탄수 0만 입력 되어있음
28_Sam,12.159843,18.382568,25.284769,10.526086,18.508686,50.164532,9.829811,19.469946,32.202339,10.704962,18.011982,24.592363,11.593633,16.483425,27.385405,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,14.673594,22.078602,39.0989,16.826336,20.303795,35.454601,19.79171,18.433596,34.339996,13.359021,22.21447,31.647499,14.283619,21.269245,43.721344,685/인슐 탄수 0만 입력 되어있음
30_Sam,11.637799,18.904163,30.600178,10.763269,20.50712,35.333099,10.113358,16.632231,28.714533,10.160976,17.430265,27.765972,12.585704,17.18058,25.940525,1242/인슐 탄수 0만 입력 되어있음
31_Sam,11.855846,21.290213,37.478336,10.789783,26.810261,34.096924,14.913126,18.644806,38.176147,10.992238,24.762722,33.866306,11.440494,20.599466,35.350391,1453/인슐 탄수 0만 입력 되어있음
32_Sam,14.073373,24.278488,37.878181,14.715928,28.815706,41.014568,14.664667,24.09046,39.212734,18.442253,24.515558,33.330555,15.329471,24.553579,33.963669,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,10.276717,18.379906,28.854372,9.326207,17.32435,31.323713,9.799832,18.397984,25.44162,10.862618,15.960203,26.655184,9.696879,18.430519,30.218071,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,16.980938,29.030249,43.143177,17.071278,28.381407,40.94849,17.862236,27.425055,37.002182,17.208138,26.453339,39.894482,18.872849,28.096922,39.959,1295/인슐 탄수 0만 입력 되어있음
35_Sam,,,,,,,,,,,,,,,,2014/인슐 X 탄수화물만 (2번)
36_Sam,8.883341,16.372837,32.355145,9.05812,14.201097,35.859287,8.919645,12.917356,26.94088,7.815677,15.23217,28.159985,8.206777,17.06354,34.826591,1710/인슐 탄수 0만 입력 되어있음
37_Sam,8.542236,14.212336,22.573997,8.551409,14.37653,21.727837,9.619185,13.77651,22.734247,8.393422,14.789666,21.167101,8.407117,13.488624,21.278484,2053/인슐 탄수 0만 입력 되어있음
38_Sam,14.774073,24.304964,34.369881,17.084724,23.504379,32.247467,14.299465,25.76663,37.630863,14.682227,22.789541,32.655457,14.745075,22.520666,29.882462,1485/인슐 탄수 0만 입력 되어있음
39_Sam,11.335536,20.481508,37.409702,12.657372,27.590738,38.258385,9.223526,15.898996,32.420448,10.928836,18.955328,33.288685,10.507534,18.871046,38.587486,1473/인슐 탄수 0만 입력 되어있음
40_Sam,12.127906,19.649767,30.112295,12.451447,19.005255,29.743689,11.973735,18.804117,32.43504,12.609673,19.34186,33.621304,12.51368,19.385809,29.304354,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,,,,,,,,,,,,,,,,1947/인슐 X 탄수화물만 (2번)
42_Sam,13.339286,20.577055,40.061066,12.168387,27.081907,33.895515,9.651431,16.079212,26.226213,11.636045,15.986589,,12.034136,19.361376,31.736671,1147/인슐 탄수 0만 입력 되어있음/15/13 / Rrmse 655
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,8.139679,14.660018,24.56604,8.488213,14.372219,24.164396,8.974678,15.98663,24.458342,7.972824,14.573803,25.515169,8.194185,14.118889,26.244543,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,11.7431,19.036158,25.931652,10.960938,23.890329,25.921597,11.599585,17.617832,21.943365,11.574696,17.266405,24.523869,11.49721,16.686344,27.092426,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,11.15683,19.952797,32.988007,12.656471,22.263468,35.669113,13.956641,25.676077,30.361376,12.401522,22.236181,32.705856,11.871196,19.688013,37.893276,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,10.010311,19.045633,31.102783,9.3279,22.68199,29.605894,10.031688,17.88028,24.418655,11.36762,14.806417,25.028112,11.23878,17.336576,27.137804,1179/인슐 탄수 0만 입력 되어있음/11/16
49_Sam,17.062241,27.004087,42.821709,15.676653,29.741516,39.862095,21.640806,29.327501,37.651283,16.484266,27.351301,38.410004,17.000399,27.078362,41.30032,1924/인슐 탄수 0만 입력 되어있음/16/9
50_Sam,,,,,,,,,,,,,,,,1744/인슐 탄수 X
51_Sam,10.315794,18.32543,30.364828,9.132286,17.621212,29.559637,18.516438,26.821743,28.288342,9.903524,19.793497,28.687761,11.771195,17.169012,26.950026,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
52_Sam,13.303199,22.198719,31.227051,12.056726,23.236103,37.402054,19.270607,18.058119,36.157791,12.003701,19.95537,28.040285,12.796014,18.707788,28.097111,1305/인슐 탄수 0만 입력 되어있음/16/10
53_Sam,11.956748,21.169065,36.912094,11.025429,18.356224,28.9252,36.336086,16.064867,27.705153,9.241154,25.013601,28.051134,10.80594,18.400673,30.91577,997/인슐 탄수 0만 입력 되어있음/13/10
54_Sam,10.237275,20.712864,35.725254,9.852717,19.151133,36.787525,7.537696,17.467264,32.778423,9.647078,15.441231,36.068485,9.281816,22.364285,38.845848,1448인슐 탄수 0만 입력 되어있음/16/25
